model_id,dim_hid,alpha,eps,normalize,weight_init,hidden_activation,output_activation,sparsity,weight_scale,patience,delta,train_CE,train_RE,val_CE,val_RE,duration
1,10,0.01,200,True,normal_dist,sigmoid,softmax,,1.0,,,0.01640625,0.017804629243536693,0.016875,29.042000932125763,229.54748582839966
3,10,0.01,200,True,normal_dist,sigmoid,softmax,,1.0,10,0,0.03296875,0.033504409546543074,0.0275,55.32114142229303,96.04279232025146
4,10,0.01,200,True,normal_dist,sigmoid,softmax,,1.0,10,0.001,0.0259375,0.03177018185259605,0.023125,55.51930289271824,66.22898244857788
5,10,0.01,200,True,normal_dist,sigmoid,softmax,,2.0,,,0.01640625,0.01706562946878258,0.016875,31.22731747525866,267.3384494781494
7,10,0.01,200,True,normal_dist,sigmoid,softmax,,2.0,10,0,0.0471875,0.047135833672143045,0.0425,73.30732290432915,66.10610437393188
8,10,0.01,200,True,normal_dist,sigmoid,softmax,,2.0,10,0.001,0.03,0.030804781868502593,0.029375,50.55592832262087,83.94851016998291
17,10,0.01,200,True,normal_dist,tanh,softmax,,1.0,,,0.8575,nan,0.863125,nan,176.93814897537231
19,10,0.01,200,True,normal_dist,tanh,softmax,,1.0,10,0,0.8575,nan,0.863125,nan,10.625316619873047
20,10,0.01,200,True,normal_dist,tanh,softmax,,1.0,10,0.001,0.85625,nan,0.863125,nan,9.656022787094116
21,10,0.01,200,True,normal_dist,tanh,softmax,,2.0,,,0.8575,nan,0.863125,nan,175.5649881362915
23,10,0.01,200,True,normal_dist,tanh,softmax,,2.0,10,0,0.85734375,nan,0.863125,nan,11.052000045776367
24,10,0.01,200,True,normal_dist,tanh,softmax,,2.0,10,0.001,0.85671875,nan,0.863125,nan,10.617409706115723
33,10,0.01,200,True,normal_dist,relu,softmax,,1.0,,,0.030625,0.032413278890368935,0.02375,37.43795260355184,186.2704463005066
35,10,0.01,200,True,normal_dist,relu,softmax,,1.0,10,0,0.0425,0.033401287059097014,0.024375,34.636264521261644,26.47131037712097
36,10,0.01,200,True,normal_dist,relu,softmax,,1.0,10,0.001,0.0409375,0.03302990540531023,0.03125,45.68022499723761,19.64625382423401
37,10,0.01,200,True,normal_dist,relu,softmax,,2.0,,,0.0428125,0.0354424292311104,0.03875,58.1073790534802,177.63901829719543
39,10,0.01,200,True,normal_dist,relu,softmax,,2.0,10,0,0.02796875,0.023907743035682546,0.01375,22.14935221841746,45.719518423080444
