Model Index,dim_hid,alpha,eps,normalize,early_stopping,hidden_activation,output_activation,Train CE,Train RE,Val CE,Val RE,Duration
1,5,0.01,50,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",sigmoid,softmax,0.0478125,0.048680684795611634,0.04875,81.42609376255649,54.45058989524841
2,5,0.01,50,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",tanh,softmax,0.07890625,0.06315639335185243,0.070625,95.95326153088378,35.467156410217285
3,5,0.01,50,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",relu,softmax,0.050625,0.041627958987597184,0.04,61.725718917019854,39.54117441177368
4,5,0.01,150,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",sigmoid,softmax,0.07171875,0.060843277355359764,0.063125,95.34617992724175,54.8160195350647
5,5,0.01,150,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",tanh,softmax,0.07140625,0.06394238173109432,0.045,90.07357550122065,56.334014654159546
6,5,0.01,150,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",relu,softmax,0.3053125,0.19235839001023586,0.31,309.0306520689246,32.793423652648926
7,5,0.01,250,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",sigmoid,softmax,0.04328125,0.04060436684080214,0.035625,63.73112344296612,104.89813017845154
8,5,0.01,250,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",tanh,softmax,0.10890625,0.08797906969207721,0.08625,127.18236020206189,40.0882613658905
9,5,0.01,250,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",relu,softmax,0.045625,0.04964536971839279,0.030625,79.70661575207176,22.46361470222473
10,5,0.005,50,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",sigmoid,softmax,0.06609375,0.060575470512723634,0.06375,99.12042640680556,53.62434458732605
11,5,0.005,50,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",tanh,softmax,0.06234375,0.054728220229574964,0.058125,86.40354718938022,37.82441711425781
12,5,0.005,50,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",relu,softmax,0.02328125,0.022081273205443015,0.02375,37.13720719561625,40.68867754936218
13,5,0.005,150,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",sigmoid,softmax,0.04578125,0.04759929484203189,0.046875,78.96597727657999,155.24601364135742
14,5,0.005,150,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",tanh,softmax,0.04265625,0.03952627221753278,0.043125,65.0306389169459,70.24646425247192
15,5,0.005,150,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",relu,softmax,0.04390625,0.03704356227209164,0.035,52.0507330008141,47.76548504829407
16,5,0.005,250,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",sigmoid,softmax,0.07890625,0.06501126627648351,0.074375,105.79240217210504,100.43293476104736
17,5,0.005,250,True,"{'stop-early': True, 'patience': 15, 'delta': 0}",tanh,softmax,0.061875,0.052234712671756826,0.05125,82.01015331190088,55.56288242340088
